,node_id,d,p_min,p_max,c_var,is_generator,energy_type,instance
0,0,28.18614525558171,0.0,0.0,0.0,False,,0
1,1,10.921627803299574,0.0,0.0,0.0,False,,0
2,2,22.884794860356426,0.0,0.0,0.0,False,,0
3,3,21.961682415912094,0.0,0.0,0.0,False,,0
4,4,0.0,0.0,0.0,0.0,False,,0
5,5,28.9909231413775,0.0,0.0,0.0,False,,0
6,6,10.630001522447847,0.0,0.0,0.0,False,,0
7,7,15.501826831715313,0.0,0.0,0.0,False,,0
8,8,0.0,0.0,0.0,0.0,False,,0
9,9,0.0,0.0,400.0,0.0,True,hydro,0
10,10,38.417806394095365,0.0,0.0,0.0,False,,0
11,11,0.0,0.0,200.0,0.0,True,hydro,0
12,12,19.0682954308311,0.0,0.0,0.0,False,,0
13,13,7.691493541426361,0.0,0.0,0.0,False,,0
14,14,48.733856924169096,0.0,0.0,0.0,False,,0
15,15,13.337832206779451,0.0,0.0,0.0,False,,0
16,16,6.2882086459442705,0.0,0.0,0.0,False,,0
17,17,32.85631308686687,0.0,0.0,0.0,False,,0
18,18,25.277125397322294,0.0,0.0,0.0,False,,0
19,19,10.304532544428659,0.0,0.0,0.0,False,,0
20,20,7.455484548688952,0.0,0.0,0.0,False,,0
21,21,5.542656519011651,0.0,0.0,0.0,False,,0
22,22,3.9673312817079847,0.0,0.0,0.0,False,,0
23,23,6.916814882725639,0.0,0.0,0.0,False,,0
24,24,0.0,0.0,397.8,28.948321000000004,True,coal,0
25,25,0.0,0.0,873.0,22.220979999999997,True,coal,0
26,26,43.27857219939087,0.0,0.0,0.0,False,,0
27,27,10.151063534923544,0.0,0.0,0.0,False,,0
28,28,13.57341609682694,0.0,0.0,0.0,False,,0
29,29,0.0,0.0,0.0,0.0,False,,0
30,30,0.0,0.0,612.0,25.993982,True,coal,0
31,31,32.7957155414593,0.0,0.0,0.0,False,,0
32,32,12.56177308845497,0.0,0.0,0.0,False,,0
33,33,31.070507925199475,0.0,0.0,0.0,False,,0
34,34,19.585932175718593,0.0,0.0,0.0,False,,0
35,35,17.188609478731635,0.0,0.0,0.0,False,,0
36,36,0.0,0.0,0.0,0.0,False,,0
37,37,0.0,0.0,0.0,0.0,False,,0
38,38,15.580483527158181,0.0,0.0,0.0,False,,0
39,39,35.97126373671374,0.0,0.0,0.0,False,,0
40,40,19.776875589173105,0.0,0.0,0.0,False,,0
41,41,54.21691301278277,0.0,0.0,0.0,False,,0
42,42,9.199056873457899,0.0,0.0,0.0,False,,0
43,43,9.21401812820751,0.0,0.0,0.0,False,,0
44,44,32.81598500844347,0.0,0.0,0.0,False,,0
45,45,0.0,0.0,720.0,24.202306,True,coal,0
46,46,19.277377637321038,0.0,0.0,0.0,False,,0
47,47,11.639789734634672,0.0,0.0,0.0,False,,0
48,48,0.0,0.0,0.0,0.0,True,solar,0
49,49,9.995319818206374,0.0,0.0,0.0,False,,0
50,50,9.516441900979686,0.0,0.0,0.0,False,,0
51,51,9.488038753256712,0.0,0.0,0.0,False,,0
52,52,12.973236743898775,0.0,0.0,0.0,False,,0
53,53,0.0,0.0,0.0,0.0,True,solar,0
